speed,i_2,i_3
2.6475,0.0,45.62
2.7271,0.2,45.42
2.8076,0.4,45.22
2.8869,0.6,45.02
2.9631,0.8,44.82
3.0343,1.0,44.62
3.0992,1.2,44.42
3.1568,1.4,44.22
3.2061,1.6,44.02
3.2464,1.8,43.82
3.2772,2.0,43.62
3.2981,2.2,43.42
3.3088,2.4,43.22
3.3092,2.6,43.02
3.2992,2.8,42.82
3.2789,3.0,42.62
3.2484,3.2,42.42
3.2083,3.4,42.22
3.1587,3.6,42.02
3.1004,3.8,41.82
3.0339,4.0,41.62
2.96,4.2,41.42
2.8797,4.4,41.22
2.7941,4.6,41.02
2.7045,4.8,40.82
2.6132,5.0,40.62
2.5242,5.2,40.42
2.4506,5.4,40.22
2.4308,5.6,40.02
2.4741,5.8,39.82
2.5407,6.0,39.62
2.6152,6.2,39.42
2.6938,6.4,39.22
2.7741,6.6,39.02
2.8542,6.8,38.82
2.9319,7.0,38.62
3.0053,7.2,38.42
3.073,7.4,38.22
3.1338,7.6,38.02
3.1866,7.8,37.82
3.2307,8.0,37.62
3.2656,8.2,37.42
3.2906,8.4,37.22
3.3056,8.6,37.02
3.3103,8.8,36.82
3.3046,9.0,36.62
3.2885,9.2,36.42
3.2623,9.4,36.22
3.2261,9.6,36.02
3.1804,9.8,35.82
3.1257,10.0,35.62
